ticker
AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
META
BRK-B
LLY
TSLA
AVGO
V
JPM
XOM
UNH
WMT
MA
JNJ
PG
HD
COST
MRK
ABBV
CVX
ADBE
CRM
PEP
KO
BAC
MCD
ACN
CSCO
TMO
AMD
LIN
NFLX
WFC
INTC
INTU
DIS
VZ
QCOM
CMCSA
CAT
IBM
UBER
AMGN
NOW
COP
PM
GE
SPGI
PFE
TXN
LOW
RTX
HON
AXP
UNP
BA
PLD
SBUX
ELV
GS
MDT
BLK
DE
BKNG
ISRG
TJX
C
VRTX
LMT
ADP
CI
SYK
ETN
REGN
PYPL
GILD
AMT
MMC
ADI
MDLZ
CVS
NKE
PGR
SLB
FI
SO
DUK
MO
CL
ICE
TGT
CB
BSX
WM
EOG
ORCL
SCHW
BMY
NEE
