cik,event_date,filing_url
1413329,2022-10-20,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000105/pm-20221019.htm
1413329,2022-05-11,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000047/pm-20220511.htm
40545,2024-04-02,https://www.sec.gov/Archives/edgar/data/40545/000119312524084038/d792336d8k.htm
40545,2023-01-04,https://www.sec.gov/Archives/edgar/data/40545/000119312523001157/d431727d8k.htm
40545,2021-03-12,https://www.sec.gov/Archives/edgar/data/40545/000095014221000936/eh210136981_8k.htm
60667,2025-08-20,https://www.sec.gov/Archives/edgar/data/60667/000006066725000162/low-20250819.htm
60667,2016-02-05,https://www.sec.gov/Archives/edgar/data/60667/000006066716000225/form8k02052016.htm
101829,2020-04-08,https://www.sec.gov/Archives/edgar/data/101829/000114036120008397/nc10010681x2_8k.htm
101829,2020-03-13,https://www.sec.gov/Archives/edgar/data/101829/000114036120005675/nc10009877x1_8k.htm
101829,2019-06-10,https://www.sec.gov/Archives/edgar/data/101829/000114036119010707/nc10002163x1_8k.htm
12927,2018-06-07,https://www.sec.gov/Archives/edgar/data/12927/000001292718000029/a201806jun78-kform.htm
1045609,2022-06-13,https://www.sec.gov/Archives/edgar/data/1045609/000110465922070371/tm2217313d1_8k.htm
1045609,2019-10-28,https://www.sec.gov/Archives/edgar/data/1045609/000110465919056701/tm1921030-3_8k.htm
1045609,2019-07-16,https://www.sec.gov/Archives/edgar/data/1045609/000104746919004190/a2239277z8-k.htm
1045609,2018-09-18,https://www.sec.gov/Archives/edgar/data/1045609/000119312518276472/d625116d8k.htm
2012383,2024-11-08,https://www.sec.gov/Archives/edgar/data/2012383/000119312524254116/d819462d8k.htm
315189,2017-06-01,https://www.sec.gov/Archives/edgar/data/315189/000110465917036728/a17-14371_18k.htm
1075531,2023-05-19,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000033/bkng-20230517.htm
1075531,2019-08-14,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000047/a8k2019creditagreement.htm
1075531,2015-06-24,https://www.sec.gov/Archives/edgar/data/1075531/000107553115000047/a8k2015creditagreement.htm
875320,2022-07-05,https://www.sec.gov/Archives/edgar/data/875320/000087532022000019/vrtx-20220701.htm
875320,2020-09-21,https://www.sec.gov/Archives/edgar/data/875320/000087532020000037/vrtx-20200918.htm
875320,2019-09-17,https://www.sec.gov/Archives/edgar/data/875320/000087532019000046/a8-ksep2019creditfacil.htm
875320,2019-09-03,https://www.sec.gov/Archives/edgar/data/875320/000087532019000043/a8-kaug2019semma.htm
875320,2019-06-07,https://www.sec.gov/Archives/edgar/data/875320/000087532019000023/june2019.htm
936468,2024-08-27,https://www.sec.gov/Archives/edgar/data/936468/000093646824000101/lmt-20240823.htm
936468,2022-08-24,https://www.sec.gov/Archives/edgar/data/936468/000093646822000106/lmt-20220824.htm
936468,2021-08-24,https://www.sec.gov/Archives/edgar/data/936468/000093646821000086/wk-20210824.htm
936468,2020-12-21,https://www.sec.gov/Archives/edgar/data/936468/000093646820000150/wk-20201220.htm
8670,2025-06-27,https://www.sec.gov/Archives/edgar/data/8670/000095014225001700/eh250647311_8k.htm
8670,2024-06-28,https://www.sec.gov/Archives/edgar/data/8670/000095014224001814/eh240501584_8k.htm
8670,2023-06-30,https://www.sec.gov/Archives/edgar/data/8670/000095014223001907/eh230374965_8k.htm
